,county,year,NO2_annualMean,NO2_hrOver200,NO_annualMean,O3_annualMean,O3_daysOver120,O3_dailyMaxAnnualMean,O3_dailyHourlyMax,O3_daily8HrMax,PM10_annualMean,PM2_5_annualMean,cases_per_100k,deaths_per_100k,Population_density,Fully_vaccinated
101,LK Ammerland,2011,"1,80007E+14",0.0068841370791791,"9,97012E+14","4,96691E+14","1,12923E+14","7,50808E+14","1,79225E+14","1,61742E+14","1,79739E+14","1,32556E+14",3191.58249962194,55.71341021783944,172.28117592095913,0.699
102,LK Ammerland,2012,"1,72201E+14",0.0064617242464716,"8,79302E+14","5,00683E+13","1,29209E+14","7,53374E+14","1,79306E+14","1,61886E+14","1,74177E+14","1,29297E+14",3191.58249962194,55.71341021783944,172.28117592095913,0.699
103,LK Ammerland,2013,"1,66777E+14",0.0061682212733847,"8,45562E+14","5,06529E+14","1,53058E+14","7,57131E+13","1,79425E+14","1,62098E+14","1,70146E+14","1,27061E+13",3191.58249962194,55.71341021783944,172.28117592095913,0.699
104,LK Ammerland,2014,"1,7305E+14",0.0065076753993855,"8,97067E+14","5,00242E+14","1,27412E+13","7,5309E+14","1,79297E+14","1,6187E+14","1,76351E+14","1,30729E+14",3191.58249962194,55.71341021783944,172.28117592095913,0.699
105,LK Ammerland,2015,"1,66937E+14",0.0061768958673041,"8,58633E+14","5,04144E+14","1,43326E+14","7,55598E+14","1,79376E+14","1,62012E+14","1,71557E+14","1,27544E+13",3191.58249962194,55.71341021783944,172.28117592095913,0.699
106,LK Ammerland,2016,"1,71586E+14",0.0064284472103357,"8,74188E+14","4,98589E+14","1,20668E+14","7,52028E+14","1,79263E+14","1,61811E+14","1,70687E+14","1,27414E+14",3191.58249962194,55.71341021783944,172.28117592095913,0.699
107,LK Ammerland,2017,"1,62551E+14",0.0059395633830429,"8,22206E+14","5,10284E+14","1,68373E+14","7,59544E+14","1,79501E+14","1,62234E+14","1,71038E+14","1,27186E+14",3191.58249962194,55.71341021783944,172.28117592095913,0.699
108,LK Ammerland,2018,"1,60262E+14",0.0058156987151151,"8,02585E+14","5,13693E+14","1,8228E+14","7,61734E+14","1,7957E+14","1,62357E+14","1,6879E+14","1,2628E+14",3191.58249962194,55.71341021783944,172.28117592095913,0.699
109,LK Ammerland,2019,"1,57833E+14",0.0056842872458693,"8,16238E+13","5,17198E+14","1,96578E+13","7,63987E+14","1,79641E+14","1,62484E+14","1,66173E+14","1,2421E+14",3191.58249962194,55.71341021783944,172.28117592095913,0.699
110,LK Anhalt-Bitterfeld,2010,1138586,0.0,199301,5266606,0.866718710565976,"7,46672E+14","1,79094E+14","1,61509E+14",227671,2041338,5455.51689702768,130.39302365520268,107.5942281672187,0.645
111,LK Anhalt-Bitterfeld,2011,1053835,0.0,1550884,5102254,0.955514132086609,"7,48071E+14","1,79138E+14","1,61588E+14","1,74243E+14",1780808,5455.51689702768,130.39302365520268,107.5942281672187,0.645
112,LK Anhalt-Bitterfeld,2012,1064941,0.0,1269597,5072746,"1,08289E+14","7,50078E+14","1,79202E+13","1,61701E+14",1733534,1466812,5455.51689702768,130.39302365520268,107.5942281672187,0.645
113,LK Anhalt-Bitterfeld,2013,"1,63527E+14",0.0059924012252192,"8,60926E+14",5217104,1,7498411,1949825,1577701,1800763,1556536,5455.51689702768,130.39302365520268,107.5942281672187,0.645
114,LK Anhalt-Bitterfeld,2014,1134692,0.0,544612,4929399,1,7343656,181325,1662729,2241014,1953516,5455.51689702768,130.39302365520268,107.5942281672187,0.645
115,LK Anhalt-Bitterfeld,2015,1075151,0.0,6135273,5306615,4,7583548,196297,1840066,1889033,1610644,5455.51689702768,130.39302365520268,107.5942281672187,0.645
116,LK Anhalt-Bitterfeld,2016,1126138,0.0,5502676,5181543,0,7585835,1814925,1582809,1931922,1624025,5455.51689702768,130.39302365520268,107.5942281672187,0.645
